Opcode   | Instruction| Op/ | 64-bit | Compat/Leg | Description
         |            | En  | Mode   | Mode       | 
---------+------------+-----+--------+------------+---------------------------------------------
70 cb    | JO    rel8 | D   | Valid  | Valid      | Jump short if overflow (OF=1).
71 cb    | JNO   rel8 | D   | Valid  | Valid      | Jump short if not overflow (OF=0).
72 cb    | JB    rel8 | D   | Valid  | Valid      | Jump short if below (CF=1).
72 cb    | JC    rel8 | D   | Valid  | Valid      | Jump short if carry (CF=1).
72 cb    | JNAE  rel8 | D   | Valid  | Valid      | Jump short if not above or equal (CF=1).
73 cb    | JAE   rel8 | D   | Valid  | Valid      | Jump short if above or equal (CF=0).
73 cb    | JNB   rel8 | D   | Valid  | Valid      | Jump short if not below (CF=0).
73 cb    | JNC   rel8 | D   | Valid  | Valid      | Jump short if not carry (CF=0).
74 cb    | JE    rel8 | D   | Valid  | Valid      | Jump short if equal (ZF=1).
74 cb    | JZ    rel8 | D   | Valid  | Valid      | Jump short if zero (ZF = 1).
75 cb    | JNE   rel8 | D   | Valid  | Valid      | Jump short if not equal (ZF=0).
75 cb    | JNZ   rel8 | D   | Valid  | Valid      | Jump short if not zero (ZF=0).
76 cb    | JBE   rel8 | D   | Valid  | Valid      | Jump short if below or equal (CF=1 or ZF=1).
76 cb    | JNA   rel8 | D   | Valid  | Valid      | Jump short if not above (CF=1 or ZF=1).
77 cb    | JA    rel8 | D   | Valid  | Valid      | Jump short if above (CF=0 and ZF=0).
77 cb    | JNBE  rel8 | D   | Valid  | Valid      | Jump short if not below or equal (CF=0 andZF=0).
78 cb    | JS    rel8 | D   | Valid  | Valid      | Jump short if sign (SF=1).
79 cb    | JNS   rel8 | D   | Valid  | Valid      | Jump short if not sign (SF=0).
7A cb    | JP    rel8 | D   | Valid  | Valid      | Jump short if parity (PF=1).
7A cb    | JPE   rel8 | D   | Valid  | Valid      | Jump short if parity even (PF=1).
7B cb    | JNP   rel8 | D   | Valid  | Valid      | Jump short if not parity (PF=0).
7B cb    | JPO   rel8 | D   | Valid  | Valid      | Jump short if parity odd (PF=0).
7C cb    | JL    rel8 | D   | Valid  | Valid      | Jump short if less (SF≠ OF).
7C cb    | JNGE  rel8 | D   | Valid  | Valid      | Jump short if not greater or equal (SF≠ OF).
7D cb    | JGE   rel8 | D   | Valid  | Valid      | Jump short if greater or equal (SF=OF).
7D cb    | JNL   rel8 | D   | Valid  | Valid      | Jump short if not less (SF=OF).
7E cb    | JLE   rel8 | D   | Valid  | Valid      | Jump short if less or equal (ZF=1 or SF≠ OF).
7E cb    | JNG   rel8 | D   | Valid  | Valid      | Jump short if not greater (ZF=1 or SF≠ OF).
7F cb    | JG    rel8 | D   | Valid  | Valid      | Jump short if greater (ZF=0 and SF=OF).
7F cb    | JNLE  rel8 | D   | Valid  | Valid      | Jump short if not less or equal (ZF=0 andSF=OF).
E3 cb    | JCXZ  rel8 | D   | N.E.   | Valid      | Jump short if CX register is 0.
E3 cb    | JECXZ rel8 | D   | Valid  | Valid      | Jump short if ECX register is 0.
E3 cb    | JRCXZ rel8 | D   | Valid  | N.E.       | Jump short if RCX register is 0.
---------+------------+-----+--------+------------+---------------------------------------------
